Interpret	Lied	Tanz	Bildtyp	Quelle
	1 2 Many	Half Past Tipsy	dance_first	11.53.57 (12)
	1976	1976	dance_first	11.53.57 (12)
	21 Forever	21 Forever	dance_first	11.53.572
	57 Chevrolet	Halleluja	dance_first	11.53.57 (9)
	A little more country	Holly's Church	dance_first	11.53.57 (3)
	A little naiv	Por ti sere	dance_first	11.53.57 (2)
	A love like that	All over again	dance_first	11.53.572
	A love like that	Cowboy strut	dance_first	11.53.57 (6)
	A thousand way's	Good time	dance_first	11.53.57 (9)
	A Woman Like You	Come dance with me	dance_first	11.53.57 (6)
	Achy breaky heart	Electric Slide	dance_first	11.53.57 (9)
	Achy breaky heart (Remix)	Electric Slide	dance_first	11.53.57 (9)
	Adalaida	Adalaida	dance_first	11.53.572
	After the storm	16-Step	dance_first	11.53.572
	After the storm	Electric Slide	dance_first	11.53.57 (9)
	Ala freackin' bama	Ala freackin' bama	dance_first	11.53.572
	All i missing is you	Golden wedding Ring	dance_first	11.53.57 (9)
	All over again	All over again	dance_first	11.53.572
	All shook up	All shook up	dance_first	11.53.572
	All shook up (Elvis)	All shook up	dance_first	11.53.572
	All shook up (slow)	All shook up	dance_first	11.53.572
	All shook up (v.slow)	All shook up	dance_first	11.53.572
	All summer long	Country Walking	dance_first	11.53.57 (6)
	All summer long	Uptown funky	dance_first	11.53.57 (8)
	Amame	Amame	dance_first	11.53.572
	Amazing Grace	Waltz accross Texas	dance_first	11.53.57 (8)
	American dream	Por ti sere	dance_first	11.53.57 (2)
	American Honky Tonk	Down on your uppers	dance_first	11.53.57 (6)
	American Saturday night	Chattahoochee	dance_first	11.53.57 (6)
	Any man of mine	Canadian Stomp	dance_first	11.53.572
	Anything for love	Anything for love	dance_first	11.53.572
	Are you gonna kiss me	Lonely Drum	dance_first	11.53.57 (2)
	Back in your arms	All over again	dance_first	11.53.572
	Back in your arms	Cucaracha	dance_first	11.53.57 (6)
	Bad bad Leroy Brown	Sex, Love & Texas	dance_first	11.53.57 (8)
	Bad case of loving you	Doctor Doctor	dance_first	11.53.57 (6)
	Bad Leroy Brown	Burning love	dance_first	11.53.572
	Beat of the music	Cabo San Lucas	dance_first	11.53.57 (6)
	Beautiful Madness	Beautiful Madness	dance_first	11.53.572
	Beer for my Horses	Beer for my Horses	dance_first	11.53.572
	Better every beer	Beer for my Horses	dance_first	11.53.572
	Better every beer	Uptown funky	dance_first	11.53.57 (8)
	Bible belt	Bible belt	dance_first	11.53.572
	Big big love	Fishin' in the dark	dance_first	11.53.57 (9)
	Big hair	Kill the spider	dance_first	11.53.57 (2)
	Black coffee	Black Coffee	dance_first	11.53.572
	Blanked on the ground	High Cotton	dance_first	11.53.57 (3)
	Blue ain't your color	Heart of an Angel	dance_first	11.53.57 (3)
	Blue blue tears	Country 2-Step	dance_first	11.53.57 (6)
	Blue Rodeo	Blue Rodeo	dance_first	11.53.572
	Blue rodeo	Rhumba & Roses	dance_first	11.53.57 (2)
	Blue suede Blues	Little Bitty	dance_first	11.53.57 (2)
	Boat to Liverpool	The Boat to Liverpool	dance_first	11.53.57 (8)
	Bobbie Sue	Sugar & Pai	dance_first	11.53.57 (8)
	Bonaparte's Retreat	Bonaparte's Retreat	dance_first	11.53.572
	Boot scooting boogie	Tush Push	dance_first	11.53.57 (8)
	Bootshake	Bootshake	dance_first	11.53.57 (12)
	Bosa Nova	Bosa Nova	dance_first	11.53.572
	Bottom of the Bottle	Bottom of the Bottle	dance_first	11.53.571
	Brenda Put Your Bra On	Brenda Put Your Bra On	dance_first	11.53.571
	Bring Back The Sunshine	My Little RnR	dance_first	11.53.57 (2)
	Bring down the house	Bring down the house	dance_first	11.53.572
