Interpret	Lied	Tanz aus Radio	Tänze aus lokaler Datenbank	Kandidaten	Sicherheit	Abspielungen	Zuletzt gespielt	Abgleich
1000 Countryhits	Spende 2026				keine	54	2026-07-15T16:40:24.000Z	keine lokale Zuordnung gefunden
1000 Webradios	Titelinfo Homepage				keine	53	2026-07-15T15:57:43.000Z	keine lokale Zuordnung gefunden
49 Winchester	Hillbilly Happy				keine	5	2026-07-15T12:52:58.000Z	keine lokale Zuordnung gefunden
49 Winchester	Slowly				keine	3	2026-07-15T00:47:16.000Z	keine lokale Zuordnung gefunden
Aaron Lewis	The Party's over				keine	2	2026-07-15T03:22:00.000Z	keine lokale Zuordnung gefunden
Alabama	Come find me (feat. Alison Krauss)				keine	2	2026-07-14T17:04:29.000Z	keine lokale Zuordnung gefunden
Alabama	Feels so right				keine	1	2026-07-13T22:46:33.000Z	keine lokale Zuordnung gefunden
Alabama	Lady down on love				keine	3	2026-07-15T01:21:51.000Z	keine lokale Zuordnung gefunden
Alabama	Mountain Music				keine	1	2026-07-14T11:59:24.000Z	keine lokale Zuordnung gefunden
Alabama	Reckless				keine	1	2026-07-14T14:37:22.000Z	keine lokale Zuordnung gefunden
Alabama	Roll on (Eighteen wheeler)				keine	1	2026-07-15T15:06:04.000Z	keine lokale Zuordnung gefunden
Alabama	Sad lookin' moon				keine	1	2026-07-14T09:05:45.000Z	keine lokale Zuordnung gefunden
Alabama	She and I				keine	1	2026-07-15T09:40:29.000Z	keine lokale Zuordnung gefunden
Alabama	Song of the South				keine	1	2026-07-14T20:35:56.000Z	keine lokale Zuordnung gefunden
Alabama	T.L.C. A.S.A.P.				keine	1	2026-07-15T12:43:20.000Z	keine lokale Zuordnung gefunden
Alabama	Take me down				keine	3	2026-07-15T04:02:14.000Z	keine lokale Zuordnung gefunden
Alabama	There's no way				keine	1	2026-07-15T06:50:44.000Z	keine lokale Zuordnung gefunden
Alabama	Why lady why				keine	1	2026-07-14T22:44:23.000Z	keine lokale Zuordnung gefunden
Alan Jackson	Drive (for Daddy Gene)				keine	1	2026-07-14T16:04:10.000Z	keine lokale Zuordnung gefunden
Alan Jackson	Home				keine	1	2026-07-15T03:46:41.000Z	keine lokale Zuordnung gefunden
Alan Jackson	Little man				keine	2	2026-07-14T20:13:51.000Z	keine lokale Zuordnung gefunden
Alan Jackson	Love's got a hold on you				keine	1	2026-07-15T09:28:33.000Z	keine lokale Zuordnung gefunden
Alan Jackson	Mercury blues		Crazy 'bout Mercury | Tush Push	Crazy 'bout Mercury | Tush Push	niedrig	1	2026-07-13T19:04:04.000Z	mehrere Tänze zum Titel vorhanden
Alan Jackson	Midnight in Montgomery				keine	1	2026-07-13T21:36:54.000Z	keine lokale Zuordnung gefunden
Alan Jackson	Pop a top				keine	2	2026-07-15T11:31:58.000Z	keine lokale Zuordnung gefunden
Alan Jackson	Right on the money				keine	1	2026-07-14T05:05:41.000Z	keine lokale Zuordnung gefunden
Alan Jackson	Someday				keine	1	2026-07-15T13:43:00.000Z	keine lokale Zuordnung gefunden
Alan Jackson	Tall, tall trees				keine	1	2026-07-14T10:45:47.000Z	keine lokale Zuordnung gefunden
Alan Jackson	Where I come from				keine	1	2026-07-13T23:27:08.000Z	keine lokale Zuordnung gefunden
Alexandra Kay	Straight For The Heart				keine	4	2026-07-15T06:33:21.000Z	keine lokale Zuordnung gefunden
America	A Horse With No Name				keine	2	2026-07-15T07:29:55.000Z	keine lokale Zuordnung gefunden
America	Lonely People				keine	1	2026-07-14T21:21:14.000Z	keine lokale Zuordnung gefunden
America	Sister Golden Hair				keine	2	2026-07-15T13:00:30.000Z	keine lokale Zuordnung gefunden
America	Ventura Highway				keine	1	2026-07-14T03:35:29.000Z	keine lokale Zuordnung gefunden
Andrew Gold	Thank You For Being A Friend				keine	2	2026-07-15T02:31:38.000Z	keine lokale Zuordnung gefunden
Ashley Cooke	The Hell You Are				keine	4	2026-07-15T11:10:12.000Z	keine lokale Zuordnung gefunden
Ashley McBryde	Light on in the kitchen				keine	1	2026-07-15T03:34:00.000Z	keine lokale Zuordnung gefunden
Atlus	Devil Ain’t Done				keine	2	2026-07-15T01:53:28.000Z	keine lokale Zuordnung gefunden
Bailey Zimmerman	Chevy Silverado				keine	5	2026-07-15T11:34:58.000Z	keine lokale Zuordnung gefunden
Bailey Zimmerman	Religiously				keine	1	2026-07-14T07:25:33.000Z	keine lokale Zuordnung gefunden
Bellamy Brothers	Crazy From The Heart				keine	2	2026-07-15T16:15:39.000Z	keine lokale Zuordnung gefunden
Bellamy Brothers	Do You Love As Good As You Look				keine	1	2026-07-13T19:28:25.000Z	keine lokale Zuordnung gefunden
Bellamy Brothers	Fly Me To Eden				keine	1	2026-07-15T13:52:38.000Z	keine lokale Zuordnung gefunden
Bellamy Brothers	For All The Wrong Reasons				keine	2	2026-07-15T07:34:05.000Z	keine lokale Zuordnung gefunden
Bellamy Brothers	I Could Be Persuaded				keine	1	2026-07-14T15:49:28.000Z	keine lokale Zuordnung gefunden
Bellamy Brothers	I Love Her Mind		Blue light chasing | Canadian Stomp | High Cotton	Blue light chasing | Canadian Stomp | High Cotton	niedrig	1	2026-07-14T04:37:38.000Z	mehrere Tänze zum Titel vorhanden
Bellamy Brothers	If I Said You Have A Beautiful Body Would You Hold It Against Me				keine	1	2026-07-14T07:38:12.000Z	keine lokale Zuordnung gefunden
Bellamy Brothers	Lie To You For Your Love				keine	1	2026-07-14T10:34:05.000Z	keine lokale Zuordnung gefunden
Bellamy Brothers	Melt Down				keine	1	2026-07-13T23:15:59.000Z	keine lokale Zuordnung gefunden
