Interpret	Lied	Tanz aus Radio	Tänze aus lokaler Datenbank	Kandidaten	Sicherheit	Abspielungen	Zuletzt gespielt	Abgleich
A Thousand Horses	Tennessee Whiskey				keine	1	2026-07-15T01:47:56.000Z	keine lokale Zuordnung gefunden
A. J. Downing & The Buick 6	The Other Cheek				keine	2	2026-07-14T22:02:43.000Z	keine lokale Zuordnung gefunden
Aaron Lewis	State I'm In				keine	1	2026-07-13T23:33:21.000Z	keine lokale Zuordnung gefunden
Aaron Lewis	That Ain't Country				keine	1	2026-07-15T14:33:43.000Z	keine lokale Zuordnung gefunden
Aaron Lewis ft. Willie Nelson	Sinner				keine	1	2026-07-15T16:14:11.000Z	keine lokale Zuordnung gefunden
Aaron Pritchett	City Cowboy				keine	1	2026-07-14T00:30:29.000Z	keine lokale Zuordnung gefunden
Aaron Tippin	How's The Radio Know				keine	1	2026-07-14T09:24:17.000Z	keine lokale Zuordnung gefunden
Aaron Tippin	The Call Of The Wild				keine	3	2026-07-15T13:08:49.000Z	keine lokale Zuordnung gefunden
Aaron Watson	Angels & Outlaws				keine	1	2026-07-15T02:22:59.000Z	keine lokale Zuordnung gefunden
Aaron Watson	Kiss That Girl Goodbye				keine	1	2026-07-15T07:45:25.000Z	keine lokale Zuordnung gefunden
Aaron Watson	Vaquero				keine	1	2026-07-14T08:11:13.000Z	keine lokale Zuordnung gefunden
Abby Anderson	Make Him Wait				keine	2	2026-07-15T08:37:05.000Z	keine lokale Zuordnung gefunden
Adam Harvey	Bordertown				keine	1	2026-07-14T07:57:38.000Z	keine lokale Zuordnung gefunden
Adam Harvey	The House That Jack Built				keine	1	2026-07-15T01:16:33.000Z	keine lokale Zuordnung gefunden
Adam Hood	Varnado				keine	1	2026-07-14T19:10:30.000Z	keine lokale Zuordnung gefunden
Adam Sanders	My Kinda' Crowd				keine	1	2026-07-14T23:36:26.000Z	keine lokale Zuordnung gefunden
Adam Sanders	Summer Back				keine	1	2026-07-14T02:25:45.000Z	keine lokale Zuordnung gefunden
Alabama	Down This Road				keine	1	2026-07-14T04:05:26.000Z	keine lokale Zuordnung gefunden
Alabama	Old Man				keine	1	2026-07-14T21:59:15.000Z	keine lokale Zuordnung gefunden
Alan Tyler & The Lost Sons Of	Cowboys Don't Cry				keine	1	2026-07-14T12:24:33.000Z	keine lokale Zuordnung gefunden
Alecia Elliott	Stay Awhile				keine	1	2026-07-14T05:17:02.000Z	keine lokale Zuordnung gefunden
Alison Krauss	Windy City				keine	1	2026-07-14T12:44:16.000Z	keine lokale Zuordnung gefunden
Allie Colleen	Work In Progress				keine	2	2026-07-15T11:29:12.000Z	keine lokale Zuordnung gefunden
Allison Moorer	Back Of My Mind				keine	1	2026-07-14T21:19:48.000Z	keine lokale Zuordnung gefunden
Allison Moorer	Wish I				keine	1	2026-07-14T10:44:14.000Z	keine lokale Zuordnung gefunden
Amanda Hunt-Taylor	You Can Try But You Can't Make Me				keine	2	2026-07-15T14:28:39.000Z	keine lokale Zuordnung gefunden
Amber Jo Ann	Breathless				keine	2	2026-07-14T23:08:45.000Z	keine lokale Zuordnung gefunden
Amber Lawrence	Gonna Fly				keine	1	2026-07-13T17:46:43.000Z	keine lokale Zuordnung gefunden
Andrée Watters	Time After Time				keine	1	2026-07-14T11:14:50.000Z	keine lokale Zuordnung gefunden
Andrew Pope	Stayin' With My Roots				keine	2	2026-07-15T15:51:23.000Z	keine lokale Zuordnung gefunden
Andy Budd	Ragtop Monterey				keine	1	2026-07-15T10:53:14.000Z	keine lokale Zuordnung gefunden
Anne McCue	From Bakersfield To Saigon				keine	1	2026-07-13T18:46:49.000Z	keine lokale Zuordnung gefunden
Arthur Blanch	Life's Been Good To Me				keine	1	2026-07-13T21:58:34.000Z	keine lokale Zuordnung gefunden
Artists Of Then Now & Forever	Forever Country				keine	1	2026-07-14T15:40:24.000Z	keine lokale Zuordnung gefunden
Ashley McBryde	Girl Goin' Nowhere				keine	1	2026-07-14T05:30:59.000Z	keine lokale Zuordnung gefunden
Ashley Monroe	Mayflowers				keine	2	2026-07-15T00:29:34.000Z	keine lokale Zuordnung gefunden
Autumn Hill	Favourite Mistake				keine	1	2026-07-13T22:14:37.000Z	keine lokale Zuordnung gefunden
Autumn Hill	Something To Remember Yo By				keine	1	2026-07-14T11:22:39.000Z	keine lokale Zuordnung gefunden
Bailey Tomkinson	Dear Dakota				keine	1	2026-07-14T03:25:32.000Z	keine lokale Zuordnung gefunden
Balsam Range	Tumbleweed Town				keine	1	2026-07-14T06:03:10.000Z	keine lokale Zuordnung gefunden
Barefoot Renegades	Miles Away				keine	1	2026-07-15T12:05:14.000Z	keine lokale Zuordnung gefunden
Barry P. Foley	Texas Has Got It All				keine	2	2026-07-15T04:06:47.000Z	keine lokale Zuordnung gefunden
Barstool Romeos	Buddy Rogers				keine	1	2026-07-14T21:14:42.000Z	keine lokale Zuordnung gefunden
Bellamy Brothers	Redneck Rockstar				keine	1	2026-07-13T22:17:48.000Z	keine lokale Zuordnung gefunden
Ben Haggard	Sing Me Back Home				keine	1	2026-07-14T12:58:32.000Z	keine lokale Zuordnung gefunden
Best of	Country				keine	23	2026-07-15T15:07:56.000Z	keine lokale Zuordnung gefunden
Big & Rich	Wild West Show				keine	1	2026-07-15T01:39:50.000Z	keine lokale Zuordnung gefunden
Big Aidan Quinn	Six Days On The Road				keine	1	2026-07-14T16:42:23.000Z	keine lokale Zuordnung gefunden
Big Jim Wheeler & Wheels Of Fire	Rockhill Mountain Home				keine	1	2026-07-15T02:12:35.000Z	keine lokale Zuordnung gefunden
Big Wheel Cannonball	Six Days On The Road				keine	1	2026-07-14T07:04:32.000Z	keine lokale Zuordnung gefunden
Bill Weaver	Out on the Road				keine	2	2026-07-14T17:55:44.000Z	keine lokale Zuordnung gefunden
Bill Weaver	That's Why He Trucks				keine	1	2026-07-13T19:51:00.000Z	keine lokale Zuordnung gefunden
Billie Jo Spears	Blanket On The Ground				keine	2	2026-07-15T16:02:15.000Z	keine lokale Zuordnung gefunden
Billy Currington	23 Degrees And South				keine	1	2026-07-13T19:37:58.000Z	keine lokale Zuordnung gefunden
Billy D. Hunter	Dealing With The Devil				keine	1	2026-07-15T07:32:21.000Z	keine lokale Zuordnung gefunden
Billy Joe Shaver	Amtrak (Ain't Coming Back)				keine	2	2026-07-15T05:49:43.000Z	keine lokale Zuordnung gefunden
Billy Joe Shaver	There's No Fool Like An Old Fool				keine	1	2026-07-14T16:21:32.000Z	keine lokale Zuordnung gefunden
