Interpret	Lied	Tanz aus Radio	Tänze aus lokaler Datenbank	Kandidaten	Sicherheit	Abspielungen	Zuletzt gespielt	Abgleich
A Thousand Horses	Smoke				keine	1	2026-07-14T21:18:55.000Z	keine lokale Zuordnung gefunden
Adam Steffey	A Broken Heart Keeps Beatin'				keine	2	2026-07-15T06:52:37.000Z	keine lokale Zuordnung gefunden
Adam Steffey	Deep Rough				keine	1	2026-07-14T01:04:14.000Z	keine lokale Zuordnung gefunden
Adam Steffey	Don't Lie to Me				keine	3	2026-07-15T08:05:47.000Z	keine lokale Zuordnung gefunden
Adam Steffey	Half Past Four				keine	1	2026-07-13T22:49:18.000Z	keine lokale Zuordnung gefunden
Adam Steffey	One More for the Road				keine	1	2026-07-15T08:46:21.000Z	keine lokale Zuordnung gefunden
Adam Steffey	What Gives You the Right				keine	2	2026-07-15T01:41:28.000Z	keine lokale Zuordnung gefunden
Adam Wakefield	I'm Sorry				keine	2	2026-07-15T15:03:15.000Z	keine lokale Zuordnung gefunden
Alabama	Cheap Seats				keine	2	2026-07-15T12:56:00.000Z	keine lokale Zuordnung gefunden
Alabama	Daddy's Little Girl You'll Nev				keine	2	2026-07-15T07:12:32.000Z	keine lokale Zuordnung gefunden
Alabama	Fiddle in the Band				keine	2	2026-07-14T06:02:57.000Z	keine lokale Zuordnung gefunden
Alabama	Love In The First Degree				keine	2	2026-07-14T23:31:05.000Z	keine lokale Zuordnung gefunden
Alabama	The Closer You Get				keine	2	2026-07-14T18:43:06.000Z	keine lokale Zuordnung gefunden
Alan Jackson	Chattahoochee		Chattahoochee | Tush Push	Chattahoochee | Tush Push	hoch	2	2026-07-15T16:10:14.000Z	exakter Interpret-und-Titel-Abgleich
Alan Jackson	Drive (For Daddy Gene)				keine	3	2026-07-14T14:58:26.000Z	keine lokale Zuordnung gefunden
Alan Jackson	Monday Morning Church				keine	2	2026-07-15T11:45:26.000Z	keine lokale Zuordnung gefunden
Alan Jackson	Small town southern man				keine	5	2026-07-15T11:17:01.000Z	keine lokale Zuordnung gefunden
Albert Lee	Country Boy				keine	2	2026-07-14T11:37:29.000Z	keine lokale Zuordnung gefunden
Andy Gibson	Wanna Make You Love Me				keine	2	2026-07-15T15:54:23.000Z	keine lokale Zuordnung gefunden
Any Ol' Barstool	Jason Aldean				keine	1	2026-07-13T23:53:07.000Z	keine lokale Zuordnung gefunden
Ashton Shepherd	Old Memory				keine	1	2026-07-15T04:12:01.000Z	keine lokale Zuordnung gefunden
Barrett Baber	I'd Just Love To Lay You Down				keine	2	2026-07-15T00:12:04.000Z	keine lokale Zuordnung gefunden
Bebe Rexha	Meant to Be (feat. Florida Georgia Line)				keine	1	2026-07-15T15:13:43.000Z	keine lokale Zuordnung gefunden
Big & Rich	Run Away With You				keine	2	2026-07-15T04:55:56.000Z	keine lokale Zuordnung gefunden
Big & Rich	That's Why I Pray				keine	1	2026-07-14T08:41:24.000Z	keine lokale Zuordnung gefunden
Big and Rich	Love Train				keine	1	2026-07-14T02:15:46.000Z	keine lokale Zuordnung gefunden
Bill Monroe	Blue Moon Of Kentucky				keine	2	2026-07-15T02:58:46.000Z	keine lokale Zuordnung gefunden
Billie Joe Spears	Sing Me An Old Fashioned Love Song				keine	2	2026-07-15T12:17:42.000Z	keine lokale Zuordnung gefunden
Billy Currington	I Got A Feelin'				keine	1	2026-07-14T02:33:02.000Z	keine lokale Zuordnung gefunden
Billy Currington	Let Me Down Easy				keine	1	2026-07-14T21:22:48.000Z	keine lokale Zuordnung gefunden
Billy Currington	We Are Tonight				keine	1	2026-07-15T01:15:57.000Z	keine lokale Zuordnung gefunden
