Interpret	Lied	Tanz aus Radio	Tänze aus lokaler Datenbank	Kandidaten	Sicherheit	Abspielungen	Zuletzt gespielt	Abgleich
A-ha	shadowside				keine	1	2026-07-15T00:23:14.000Z	keine lokale Zuordnung gefunden
Abbey Lincoln	Midnight Sun				keine	2	2026-07-15T00:39:33.000Z	keine lokale Zuordnung gefunden
AC/DC	Back In Black				keine	1	2026-07-14T21:41:22.000Z	keine lokale Zuordnung gefunden
AC/DC	Riff Raff				keine	1	2026-07-14T22:44:19.000Z	keine lokale Zuordnung gefunden
AC/DC	You shook me all night long				keine	3	2026-07-15T00:36:03.000Z	keine lokale Zuordnung gefunden
Adam Green	Morning After Midnight				keine	1	2026-07-14T23:37:09.000Z	keine lokale Zuordnung gefunden
Aerosmith	Livin' On The Edge				keine	1	2026-07-14T21:04:18.000Z	keine lokale Zuordnung gefunden
Al Stewart	Midnight Rocks				keine	1	2026-07-14T01:36:42.000Z	keine lokale Zuordnung gefunden
Al Stewart	On The Border				keine	2	2026-07-15T13:57:54.000Z	keine lokale Zuordnung gefunden
Al Stewart	Year of the Cat				keine	1	2026-07-15T15:45:25.000Z	keine lokale Zuordnung gefunden
Alabama	High Cotton		High Cotton	High Cotton	hoch	1	2026-07-13T17:44:28.000Z	exakter Interpret-und-Titel-Abgleich
Alannah Myles	Black Velvet				keine	1	2026-07-15T04:52:12.000Z	keine lokale Zuordnung gefunden
Alexander	Take Me Tonight				keine	1	2026-07-15T00:02:48.000Z	keine lokale Zuordnung gefunden
Alice Cooper	Billion dollar babies				keine	2	2026-07-15T15:10:41.000Z	keine lokale Zuordnung gefunden
Amy Macdonald	This Is The Life				keine	1	2026-07-14T03:09:42.000Z	keine lokale Zuordnung gefunden
Andreas Vollenweider	Night Fire Dance				keine	1	2026-07-14T01:58:11.000Z	keine lokale Zuordnung gefunden
Aphrodite's Child	Rain And Tears				keine	1	2026-07-14T05:30:48.000Z	keine lokale Zuordnung gefunden
Aretha Franklin	Respect				keine	1	2026-07-15T08:29:57.000Z	keine lokale Zuordnung gefunden
Art Garfunkel	Bright Eyes				keine	1	2026-07-15T04:45:00.000Z	keine lokale Zuordnung gefunden
Asia	Heat Of The Moment				keine	2	2026-07-15T02:35:59.000Z	keine lokale Zuordnung gefunden
Average White Band	Pick Up Up The Pieces				keine	1	2026-07-15T14:21:55.000Z	keine lokale Zuordnung gefunden
Axel Rudi Pell	Prelude To The Moon (Opus #3 Menuetto Prelugio)				keine	2	2026-07-15T01:48:58.000Z	keine lokale Zuordnung gefunden
BACHMAN TURNER OVERDRIVE	Roll On Down The Highway				keine	1	2026-07-15T13:40:46.000Z	keine lokale Zuordnung gefunden
Barclay James Harvest	Hymn				keine	1	2026-07-14T07:21:01.000Z	keine lokale Zuordnung gefunden
Barclay James Harvest	In Search of England				keine	1	2026-07-15T13:17:17.000Z	keine lokale Zuordnung gefunden
Barclay James Harvest	Sea of Tranquility				keine	3	2026-07-15T14:25:56.000Z	keine lokale Zuordnung gefunden
Barry Mcguire	Eve Of Destruction				keine	1	2026-07-14T04:38:06.000Z	keine lokale Zuordnung gefunden
Barry Ryan	Zeit macht nur vor dem Teufel halt				keine	1	2026-07-15T14:12:01.000Z	keine lokale Zuordnung gefunden
Bill Wyman`s Rhythm Kings 004	Going Crazy Overnight				keine	1	2026-07-13T22:18:50.000Z	keine lokale Zuordnung gefunden
Billy Joel	Angry Young Man				keine	1	2026-07-15T02:50:10.000Z	keine lokale Zuordnung gefunden
Billy Joel	Captain Jack				keine	1	2026-07-14T03:59:14.000Z	keine lokale Zuordnung gefunden
Billy Joel	Goodnight Saigon				keine	1	2026-07-13T23:07:45.000Z	keine lokale Zuordnung gefunden
Black Country Communion	Black Country				keine	2	2026-07-15T11:54:17.000Z	keine lokale Zuordnung gefunden
Black Country Communion	The Great Divide				keine	2	2026-07-15T12:41:43.000Z	keine lokale Zuordnung gefunden
Black Sabbath	Die Young				keine	1	2026-07-14T03:16:27.000Z	keine lokale Zuordnung gefunden
Black Sabbath	I				keine	1	2026-07-14T20:55:35.000Z	keine lokale Zuordnung gefunden
Black Sabbath	Over And Over				keine	1	2026-07-14T22:06:21.000Z	keine lokale Zuordnung gefunden
Black Sabbath	She's Gone				keine	1	2026-07-15T05:01:27.000Z	keine lokale Zuordnung gefunden
Black Sabbath	War Pigs				keine	1	2026-07-14T16:17:33.000Z	keine lokale Zuordnung gefunden
Black Sabbath	Zeitgeist				keine	1	2026-07-14T16:40:35.000Z	keine lokale Zuordnung gefunden
Blackfoot	A Legend Never Dies				keine	1	2026-07-14T21:16:44.000Z	keine lokale Zuordnung gefunden
Blackfoot	Morning Dew				keine	1	2026-07-14T21:45:37.000Z	keine lokale Zuordnung gefunden
Blackmore's Night	Durch Den Wald Zum Bach Haus				keine	1	2026-07-15T12:03:47.000Z	keine lokale Zuordnung gefunden
Blackmore's Night	Under a Violet Moon				keine	1	2026-07-14T01:25:59.000Z	keine lokale Zuordnung gefunden
Blasters, The	Dark Night				keine	2	2026-07-14T23:06:03.000Z	keine lokale Zuordnung gefunden
Blind Faith	Well Allright				keine	1	2026-07-14T04:52:14.000Z	keine lokale Zuordnung gefunden
